,Year,Player Name,Total Runs,Zeros,Ones,Twos,Threes,Fours,Sixes,Boundary Runs,Team
0,2010,SR Tendulkar,617,184,177,36,2,86,3,362,Mumbai Indians
1,2011,CH Gayle,604,134,98,9,0,56,44,488,Royal Challengers Bangalore
2,2012,CH Gayle,733,189,162,15,1,46,59,538,Royal Challengers Bangalore
3,2013,MEK Hussey,733,217,225,38,2,81,17,426,Chennai Super Kings
4,2014,RV Uthappa,660,170,191,30,0,74,18,404,Kolkata Knight Riders
5,2015,DA Warner,562,139,112,29,2,65,21,386,Sunrisers Hyderabad
6,2016,V Kohli,969,184,291,56,2,83,38,560,Royal Challengers Bangalore
