id,season,match_no,date,player_name,O,M,R,W,ECON,WD,NB
43,2017/18,"Eliminator,", Dec 8 2017,Rubel Hossain,4,0,33,1,8.25,1,0
412,2017/18,34th,Nov 29 2017,Mahedi Hasan,2,0,16,0,8.00,0,0
410,2017/18,36th, Dec 2 2017,Mosaddek Hossain,3.3,0,9,2,2.57,1,0
48,2017/18,38th, Dec 3 2017,Carlos Brathwaite,2,0,10,1,5.00,0,0
46,2017/18,40th, Dec 5 2017,Sunzamul Islam,4,0,14,2,3.50,0,0
421,2017/18,25th,Nov 24 2017,Jofra Archer,4,0,33,0,8.25,0,1
420,2017/18,26th,Nov 24 2017,Taskin Ahmed,4,0,31,3,7.75,1,0
418,2017/18,28th,Nov 25 2017,Taskin Ahmed,4,0,38,1,9.50,2,0
417,2017/18,29th,Nov 27 2017,Soumya Sarkar,3,0,30,0,10.00,1,0
419,2017/18,27th,Nov 25 2017,Mustafizur Rahman,3.1,0,32,2,10.10,2,0
416,2017/18,30th,Nov 27 2017,Mahmudullah,2,0,9,1,4.50,0,0
413,2017/18,33rd,Nov 29 2017,Mustafizur Rahman,4,0,18,2,4.50,2,0
41,2017/18,Qualifier,0 - 11 2017,Al-Amin Hossain,4,0,42,0,10.50,0,0
414,2017/18,32nd,Nov 28 2017,Abu Jayed,1,0,16,0,16.00,0,0
42,2017/18,Qualifier, Dec 8 2017,Dwayne Bravo,4,0,45,2,11.25,2,0
146,2012/13,1st,Jan 18 2013,Sunzamul Islam,4,0,32,0,8.00,0,0
49,2017/18,37th, Dec 3 2017,Luis Reece,4,0,14,0,3.50,0,0
47,2017/18,39th, Dec 5 2017,Afif Hossain,3,0,19,0,6.33,1,0
45,2017/18,41st, Dec 6 2017,Mosaddek Hossain,3,0,13,1,4.33,0,0
411,2017/18,35th, Dec 2 2017,Ravi Bopara,1,0,11,0,11.00,0,0
44,2017/18,42nd, Dec 6 2017,Ross Whiteley,2,0,26,1,13.00,1,0
43,2017/18,"Eliminator,", Dec 8 2017,Ravi Bopara,2,0,15,1,7.50,0,0
412,2017/18,34th,Nov 29 2017,Shoaib Malik,4,0,26,1,6.50,1,0
410,2017/18,36th, Dec 2 2017,Shakib Al Hasan,4,1,8,4,2.00,1,0
48,2017/18,38th, Dec 3 2017,Sohag Gazi,4,0,26,1,6.50,0,0
46,2017/18,40th, Dec 5 2017,Taskin Ahmed,4,0,29,1,7.25,2,1
421,2017/18,25th,Nov 24 2017,Carlos Brathwaite,4,0,33,0,8.25,1,0
420,2017/18,26th,Nov 24 2017,Luis Reece,2,0,22,0,11.00,0,0
418,2017/18,28th,Nov 25 2017,Soumya Sarkar,2,0,24,1,12.00,2,0
417,2017/18,29th,Nov 27 2017,Sunzamul Islam,1,0,26,0,26.00,0,0
419,2017/18,27th,Nov 25 2017,James Franklin,3,0,31,1,10.33,0,0
416,2017/18,30th,Nov 27 2017,Afif Hossain,1,0,7,1,7.00,1,0
413,2017/18,33rd,Nov 29 2017,Mehidy Hasan Miraz,4,0,33,0,8.25,1,0
41,2017/18,Qualifier,0 - 11 2017,Sohag Gazi,2,0,15,1,7.50,0,0
414,2017/18,32nd,Nov 28 2017,Mahmudullah,2,0,9,0,4.50,0,0
42,2017/18,Qualifier, Dec 8 2017,Mosaddek Hossain,4,0,24,2,6.00,0,0
146,2012/13,1st,Jan 18 2013,Mashrafe Mortaza,4,0,42,0,10.50,0,0
47,2017/18,39th, Dec 5 2017,Benny Howell,4,0,32,2,8.00,0,0
45,2017/18,41st, Dec 6 2017,Shakib Al Hasan,4,1,13,2,3.25,1,0
411,2017/18,35th, Dec 2 2017,Nazmul Islam,4,1,17,2,4.25,0,0
44,2017/18,42nd, Dec 6 2017,Al-Amin Hossain,4,0,27,0,6.75,0,0
