id,season,match_no,date,player_name,O,M,R,W,ECON,WD,NB
27,2011/12,6th,Feb 12 2012,Sohail Tanvir,4,0,20,1,5.00,1,0
22,2011/12,11th,Feb 15 2012,Kevon Cooper,4,0,28,1,7.00,0,1
20,2011/12,13th,Feb 16 2012,Enamul Haque jnr,2,0,12,2,6.00,0,0
19,2011/12,14th,Feb 16 2012,Elias Sunny,4,1,18,2,4.50,0,0
26,2011/12,7th,Feb 13 2012,Chris Gayle,3.2,0,19,0,5.70,2,0
30,2011/12,3rd,Feb 11 2012,Abdur Razzak,4,0,34,0,8.50,0,0
0,2011/12,Final,Feb 29 2012,Sohrawordi Shuvo,3,0,24,1,8.00,0,0
31,2011/12,2nd,Feb 10 2012,Qaiser Abbas,2,0,14,1,7.00,1,0
32,2011/12,1st,Feb 10 2012,Scott Styris,1,0,27,0,27.00,1,0
25,2011/12,8th,Feb 13 2012,Arafat Sunny,4,0,12,2,3.00,0,0
29,2011/12,4th,Feb 11 2012,Sohrawordi Shuvo,4,0,29,0,7.25,0,0
24,2011/12,9th,Feb 14 2012,Naeem Islam,1,0,15,1,15.00,0,0
10,2012/13,Final,Feb 19 2013,Mahmudullah,2,0,22,0,11.00,1,0
28,2011/12,5th,Feb 12 2012,Shafiul Islam,4,0,36,1,9.00,1,0
23,2011/12,10th,Feb 14 2012,Sohrawordi Shuvo,2,0,24,0,12.00,0,0
21,2011/12,12th,Feb 15 2012,Fawad Alam,2,0,17,1,8.50,0,0
18,2011/12,15th,Feb 18 2012,Talha Jubair,1,0,16,0,16.00,0,0
