Product,Rate,Top_Sell_Rank,Popularity_Rank
SILVER POUCH 7*10,210.0,712,655
SILVER POUCH 7*9,210.0,156,90
SILVER POUCH 8*10,210.0,97,47
SILVER POUCH 9*12,210.0,102,54
SILVER TONE 10*12 B,18.5,204,378
SILVER TONE 10*12 W,19.0,119,220
SILVER TONE 13*16 W,32.0,292,381
SILVER-10 HEAVY,22.0,394,586
SILVER-11-HEAVY,46.0,727,732
SILVER-9 HEAVY,18.0,551,566
SINDHU TEA GLASS,11.0,540,732
SIVA 10*12 MW,160.0,453,384
SIVA 13*16 M.W,170.0,357,318
SIVA 16*20 M.W,150.0,652,552
SIVA 17*23 M.W,150.0,710,608
SMART BOUL LOOSE,30.0,311,264
SMART BOUL(48),2210.0,388,83
SMART BOWL(3500),1750.0,640,292
SMARTBOUL GLA(4000),1780.0,487,140
SMARTBOUL-CLAS(40),2000.0,495,158
SMARTBOUL-GLA(3500),1470.0,718,448
SMITH 4*5 POLY,15.0,100,258
SNACKS PLATES,20.0,86,199
SODA GLASS JSD,28.0,260,382
SOFT NAPKEENS,30.0,66,61
SOUP CUP,65.0,812,732
SOYA SAUCES,25.0,812,732
SPONZE,75.0,460,375
SPOON BIG CL,25.0,70,78
SPOON BIG-N,50.0,506,524
SPOON COLOUR,25.0,327,492
SPOON MED M.W,16.0,214,305
SPOON MED-NAT,30.0,526,586
SPOON SMALL-CL(100),22.0,607,732
SPOON SMALL-N(90C),10.0,649,655
SPOON SOOFY,45.0,113,170
SPOON SPIDERMAN COL,24.0,607,732
SPOON-SMALL-NAT,10.0,74,77
SPOONS,100.0,436,469
SPOONS KRAZY,35.0,596,704
SPOONS TIKKI,21.0,670,732
SPOONS-BIG M.W,40.0,803,655
SRUBBER PLASTIC,96.0,803,732
STAND BOUL(1200),4700.0,834,732
STAND GLASS,3.6,345,732
STAPLER MACHINE,25.0,661,643
STEP GLASS,32.0,441,552
STRAW,20.0,583,626
STRAW 1.3KG BUNDLE,130.0,667,596
STRAW 1.5KG BUNDLE,185.0,582,239
STRAW 1/4 PACKET,25.0,168,155
STRECH FILM,100.0,350,571
STRECH FILM-100MTRS,100.0,434,429
STRECH FILM-30MTRS,40.0,745,638
STRECH FILM-600MTRS,600.0,353,267
SUPER CLASSIC,120.0,866,732
SUPER ROPE,50.0,444,486
SUPER ROPE(SPECIAL),65.0,180,135
SURESH DHARALU,15.0,455,446
SWATHI-N(13*16),148.0,581,534
SWATHI-N(16*20),148.0,573,638
SWATHI-N(17*23),145.0,803,626
SWEET BOX-250GRAMS,2.0,359,732
SWEET BOX-500GRAMS,3.5,24,563
SWEET CUPS,45.0,701,712
TAMBOOLAM COVER,200.0,834,732
TAMBULAM 6*9,110.0,369,448
TAMBULAM 7*10,120.0,85,86
TAMBULAM 8*11,140.0,136,131
"TAPE ROLL 1""",130.0,604,445
TAPE ROLL 1/2 INCH,140.0,720,460
"TAPE ROLL 2"" 40MTRS",1200.0,757,534
"TAPE ROLL 2"" 50MTRS",1200.0,430,175
"TAPE ROLL 2"" MTRS20",600.0,403,388
"TAPE ROLL 2""100METR",260.0,469,257
"TAPE ROLL 2.5""",600.0,828,655
"TAPE ROLL 3""",270.0,556,433
"TAPE ROLL 3""200 MTR",600.0,743,655
"TAPER ROLL 3""100MTR",300.0,462,262
TAPEROLL,660.0,670,396
"TAPEROLL 2""",300.0,535,409
TEAGLASS(80),13.0,394,434
THERMOCOL GLASS,1500.0,170,461
THERMOCOL GLASS(180,1500.0,739,561
THERMOCOLPLATES HEA,4.5,75,480
THEROCOL PLATES LOO,46.0,92,211
TIFFIN PLATENO-10,35.0,50,16
TIFFIN PLATENO-10 S,30.0,139,106
TIFFIN PLATENO-11,35.0,99,51
TIFFIN PLATES,35.0,595,614
TIFFIN PLATES - 9 S,26.0,146,105
TIFFIN PLATES NO-7,15.0,69,63
TIFFIN PLATES NO-8,18.0,105,58
"TIFFIN PLATES- 12""",40.0,701,643
TIFFIN PLATES-11NO-,23.0,415,398
TIFFIN PLATES-6,15.0,153,121
"TIFFIN PLATES-9""",26.0,165,101
TIRML-BL-KG-10*12,130.0,274,233
TIRML-BL-KG-11*14,130.0,834,732
TIRML-BL-KG-13*16,130.0,219,148
TIRML-BL-KG-16*20,130.0,210,91
TIRML-BL-KG-17*23,130.0,266,129
TIRML-CL-10*12,120.0,355,361
TIRML-CL-13*16 KG,130.0,252,234
TIRML-CL-16*20,130.0,443,309
TIRUMALA 16*20 M.W,120.0,155,62
TIRUMALA KIRANA,160.0,296,163
TIRUMALA LEAF(9),440.0,178,22
TIRUMALA M.W 10*12,110.0,213,125
TIRUMALA M.W 13*16,120.0,134,81
TIRUMALA M.W 17*20,130.0,368,182
TIRUMALA PLATES-9,15.0,670,732
TIRUMALA PP,145.0,701,655
TIRUMALA TEA,20.0,337,436
TIRUMALA-50(13*16),28.0,10,9
TIRUMALA-50(16*20),30.0,19,2
TIRUMALA-50(17*23),40.0,125,76
TIRUMALA-50B(10*12),8.5,18,52
TIRUMALA-BK-10*12 K,130.0,774,732
TIRUMALA-BK-13*16KG,120.0,555,507
TIRUMALA-BK-16*20KG,125.0,579,393
TIRUMALA-BK-17*23,130.0,599,448
TISSUE ROLLS,30.0,441,461
TOOTH PICS,120.0,282,88
TOOTH PICS-;PLASTIC,175.0,850,732
TRANSPORT CHARGES,1500.0,850,732
VAMSI 13*16 WHITE,13.0,378,622
VAT AMOUNT,23096.0,666,365
VENIGAR,20.0,850,732
VICTOR 10*12 MW,90.0,335,314
VICTOR 13*16 MW,90.0,447,424
VICTOR 16*20 MW,90.0,556,458
VISHNU 250ML,35.0,7,6
VISHNU 300ML,50.0,16,5
VISHNU 300ML(90),33.0,334,550
VISHNU 350ML,35.0,44,68
VISHNU CHOTA WINE,45.0,39,26
VISHNU ICE,25.0,46,18
VISWAS 10*12 M.W,90.0,358,320
VISWAS 13*16 MW,90.0,367,338
VISWAS 16*20,85.0,670,655
VISWAS 16*20 M.W,85.0,516,511
WATER 1.5,30.0,795,712
WATER 2.0,27.5,414,653
WATER BUBBLES,150.0,774,732
WATER CAN,280.0,757,712
WATER DISPENSERS,160.0,834,732
WATER GLASS,2000.0,103,107
WATER GLASS(300),28.5,280,452
WELCOME GLASS,50.0,633,626
WINE GLASS,28.0,227,290
ZEN-D CHEAP,120.0,795,655
ZEN-REALPACK,90.0,655,552
ZEND-1ST,120.0,346,245
ZEND-CLASSIC,120.0,336,366
ZEND-PREMIUM,100.0,279,219
